#Address#	#cell#	#Position#	#QDC channel#	#Pedestal#	#Count#	#Output Q#	#G#
3	9	31	56	174.78800	344.792	17.00040	68.660743134087
4	4	0	92	182.93000	352.807	16.98770	68.609450726979
4	4	1	31	139.75000	197.276	5.75260	68.239620403322
4	4	2	18	131.45900	336.828	20.53690	82.943861066236
4	4	3	19	154.76800	339.980	18.52120	74.802907915994
4	4	4	20	153.56200	218.014	6.44520	76.455516014235
4	4	5	21	179.46000	359.333	17.98730	72.646607431341
4	4	6	22	169.88400	360.631	19.07470	77.038368336026
4	4	7	23	161.87200	347.488	18.56160	74.966074313409
4	4	8	0	196.11800	256.851	6.07330	72.043890865955
4	4	9	1	177.80700	358.302	18.04950	72.897819063005
4	4	10	2	169.97500	351.854	18.18790	73.456785137318
4	4	11	3	148.31400	207.703	5.93890	70.449584816133
4	4	12	4	137.73500	327.883	19.01480	76.796445880452
4	4	13	5	167.38200	345.122	17.77400	71.785137318255
4	4	14	6	177.12000	364.086	18.69660	75.511308562197
4	4	15	7	169.33800	360.715	19.13770	77.292810985460
4	4	16	95	174.56600	349.518	17.49520	70.659127625202
4	4	17	33	177.30900	368.705	19.13960	77.300484652666
4	4	18	34	187.42200	373.605	18.61830	75.195072697900
4	4	19	35	165.18700	346.660	18.14730	73.292810985461
4	4	20	36	191.43000	378.409	18.69790	75.516558966074
4	4	21	37	181.99700	240.418	5.84210	69.301304863583
4	4	22	38	158.75200	216.304	5.75520	68.270462633452
4	4	23	39	163.29500	220.220	5.69250	67.526690391459
4	4	24	48	162.18800	336.005	17.38170	70.200726978998
4	4	25	49	131.39200	187.997	5.66050	67.147093712930
4	4	26	50	113.18500	285.120	17.19350	69.440630048465
4	4	27	51	171.67000	343.151	17.14810	69.257269789984
4	4	28	52	168.93400	225.831	5.68970	67.493475682088
4	4	29	53	172.27400	347.298	17.50240	70.688206785137
4	4	30	54	161.82500	336.897	17.50720	70.707592891761
4	4	31	55	167.86000	345.137	17.72770	71.598142164782
4	12	0	93	174.23100	347.331	17.31000	69.911147011309
4	12	1	30	122.51300	179.724	5.72110	67.865954922894
4	12	2	29	132.16300	312.047	17.98840	72.651050080776
4	12	3	28	170.60500	357.855	18.72500	75.626009693053
4	12	4	27	100.93800	159.347	5.84090	69.287069988138
4	12	5	26	175.34100	354.014	17.86730	72.161954765751
4	12	6	25	207.21700	395.696	18.84790	76.122374798061
4	12	7	24	159.93000	337.746	17.78160	71.815831987076
4	12	8	15	180.61400	237.877	5.72630	67.927639383155
4	12	9	14	154.73200	342.539	18.78070	75.850969305331
4	12	10	13	184.92700	372.523	18.75960	75.765751211632
4	12	11	12	171.98200	235.923	6.39410	75.849347568209
4	12	12	11	132.34000	320.334	18.79940	75.926494345719
4	12	13	10	154.82600	331.686	17.68600	71.429725363490
4	12	14	9	215.56700	386.159	17.05920	68.898222940226
4	12	15	8	207.18300	401.076	19.38930	78.308966074314
4	12	16	94	168.07400	347.021	17.89470	72.272617124394
4	12	17	32	141.32000	317.608	17.62880	71.198707592892
4	12	18	45	169.21300	356.620	18.74070	75.689418416801
4	12	19	44	192.45400	379.219	18.67650	75.430129240711
4	12	20	43	171.13600	357.320	18.61840	75.195476575121
4	12	21	42	124.15500	183.009	5.88540	69.814946619217
4	12	22	41	149.28000	207.426	5.81460	68.975088967972
4	12	23	40	195.00500	253.154	5.81490	68.978647686833
4	12	24	63	186.99600	358.609	17.16130	69.310581583199
4	12	25	62	158.46100	215.530	5.70690	67.697508896797
4	12	26	61	166.67600	340.703	17.40270	70.285541195477
4	12	27	60	140.90300	312.062	17.11590	69.127221324717
4	12	28	59	140.52400	198.315	5.77910	68.553973902728
4	12	29	58	86.28550	273.377	18.70915	75.561995153473
4	12	30	57	164.49300	338.153	17.36600	70.137318255250
4	12	31	56	174.74300	344.541	16.97980	68.577544426494
5	6	0	92	182.94400	351.845	16.89010	68.215266558966
5	6	1	31	137.85000	195.860	5.80100	68.813760379597
5	6	2	18	131.54200	319.258	18.77160	75.814216478191
5	6	3	19	153.69300	339.131	18.54380	74.894184168013
5	6	4	20	154.68200	214.734	6.00520	71.236061684460
5	6	5	21	179.32900	360.979	18.16500	73.364297253635
5	6	6	22	169.78000	380.367	21.05870	85.051292407108
5	6	7	23	161.91700	347.552	18.56350	74.973747980614
5	6	8	0	195.99900	256.717	6.07180	72.026097271649
5	6	9	1	177.67200	359.486	18.18140	73.430533117932
5	6	10	2	170.00000	351.971	18.19710	73.493941841680
5	6	11	3	148.28400	207.539	5.92550	70.290628706999
5	6	12	4	137.70300	327.892	19.01890	76.813004846527
5	6	13	5	167.51400	345.496	17.79820	71.882875605816
5	6	14	6	177.03300	365.057	18.80240	75.938610662359
5	6	15	7	169.38900	358.885	18.94960	76.533117932149
5	6	16	95	174.68900	350.030	17.53410	70.816235864297
5	6	17	33	177.24200	368.287	19.10450	77.158723747981
5	6	18	34	187.33200	374.750	18.74180	75.693861066236
5	6	19	35	165.11200	346.642	18.15300	73.315831987076
5	6	20	36	191.53000	376.992	18.54620	74.903877221325
5	6	21	37	182.06200	240.328	5.82660	69.117437722420
5	6	22	38	158.68200	216.573	5.78910	68.672597864769
5	6	23	39	163.47500	220.302	5.68270	67.410438908660
5	6	24	48	162.26600	336.217	17.39510	70.254846526656
5	6	25	49	131.59400	188.217	5.66230	67.168446026097
5	6	26	50	113.21300	286.426	17.32130	69.956785137318
5	6	27	51	171.65200	341.946	17.02940	68.777867528272
5	6	28	52	168.80900	226.158	5.73490	68.029655990510
5	6	29	53	172.25200	347.220	17.49680	70.665589660743
5	6	30	54	161.72900	349.501	18.77720	75.836833602585
5	6	31	55	168.01300	345.689	17.76760	71.759289176091
5	14	0	93	174.22600	347.901	17.36750	70.143376413570
5	14	1	30	122.35300	179.931	5.75780	68.301304863583
5	14	2	29	131.44400	285.703	15.42590	62.301696284330
5	14	3	28	170.56600	375.853	20.52870	82.910743134087
5	14	4	27	101.18100	159.965	5.87840	69.731909845789
5	14	5	26	175.34300	354.314	17.89710	72.282310177706
5	14	6	25	207.28600	395.594	18.83080	76.053311793215
5	14	7	24	159.99000	337.953	17.79630	71.875201938611
5	14	8	15	180.66400	238.061	5.73970	68.086595492290
5	14	9	14	154.56900	343.243	18.86740	76.201130856220
5	14	10	13	185.20600	372.187	18.69810	75.517366720517
5	14	11	12	172.25900	231.633	5.93740	70.431791221827
5	14	12	11	132.37800	319.473	18.70950	75.563408723748
5	14	13	10	154.82500	331.382	17.65570	71.307350565428
5	14	14	9	215.46400	387.564	17.21000	69.507269789984
5	14	15	8	207.32700	401.668	19.43410	78.489903069467
5	14	16	94	168.05400	344.613	17.65590	71.308158319871
5	14	17	32	141.31700	328.255	18.69380	75.500000000000
5	14	18	45	169.35900	356.678	18.73190	75.653877221325
5	14	19	44	192.38100	379.681	18.73000	75.646203554120
5	14	20	43	171.13300	358.078	18.69450	75.502827140549
5	14	21	42	124.09600	182.456	5.83600	69.228944246738
5	14	22	41	149.33800	207.517	5.81790	69.014234875445
5	14	23	40	195.13500	253.520	5.83850	69.258600237248
5	14	24	63	187.06200	358.898	17.18360	69.400646203554
5	14	25	62	158.59200	215.825	5.72330	67.892052194543
5	14	26	61	166.80500	338.574	17.17690	69.373586429725
5	14	27	60	141.03200	311.418	17.03860	68.815024232633
5	14	28	59	140.68600	198.315	5.76290	68.361803084223
5	14	29	58	86.32130	275.372	18.90507	76.353271405493
5	14	30	57	164.54400	338.151	17.36070	70.115912762520
5	14	31	56	174.93100	343.636	16.87050	68.136106623587
6	7	0	92	182.63400	364.381	18.17470	73.403473344103
6	7	1	31	141.547	199.066	5.75190	68.231316725979
6	7	2	18	131.51100	319.947	18.84360	76.105008077545
6	7	3	19	154.63900	341.510	18.68710	75.472940226171
6	7	4	20	154.99700	219.044	6.40470	75.975088967972
6	7	5	21	179.47900	359.970	18.04910	72.896203554120
6	7	6	22	169.91300	360.092	19.01790	76.808966074313
6	7	7	23	161.73900	347.484	18.57450	75.018174474960
6	7	8	0	195.62000	255.822	6.02020	71.413997627521
6	7	9	1	177.81600	358.769	18.09530	73.082794830372
6	7	10	2	170.16100	349.221	17.90600	72.318255250404
6	7	11	3	148.33000	207.321	5.89910	69.977461447212
6	7	12	4	137.97100	327.639	18.96680	76.602584814217
6	7	13	5	167.44400	345.285	17.78410	71.825928917609
6	7	14	6	177.29900	364.867	18.75680	75.754442649435
6	7	15	7	169.41300	360.686	19.12730	77.250807754443
6	7	16	95	174.62100	348.776	17.41550	70.337237479806
6	7	17	33	177.21900	367.504	19.02850	76.851777059774
6	7	18	34	187.49900	372.016	18.45170	74.522213247173
6	7	19	35	162.58300	343.186	18.06030	72.941437802908
6	7	20	36	191.71500	377.493	18.57780	75.031502423263
6	7	21	37	181.91100	240.406	5.84950	69.389086595492
6	7	22	38	158.78200	216.759	5.79770	68.774614472123
6	7	23	39	163.40000	220.375	5.69750	67.586002372479
6	7	24	48	162.17100	335.365	17.31940	69.949111470113
6	7	25	49	131.58000	188.389	5.68090	67.389086595492
6	7	26	50	113.12500	286.536	17.34110	70.036752827141
6	7	27	51	171.53400	343.436	17.19020	69.427302100162
6	7	28	52	168.48900	228.579	6.00900	71.281138790036
6	7	29	53	172.25400	340.109	16.78550	67.792810985460
6	7	30	54	161.83200	335.817	17.39850	70.268578352181
6	7	31	55	168.03500	343.937	17.59020	71.042810985461
6	15	0	93	174.35600	346.990	17.26340	69.722940226171
6	15	1	30	122.60000	179.650	5.70500	67.674970344010
6	15	2	29	131.44100	309.671	17.82300	71.983037156704
6	15	3	28	170.86100	356.827	18.59660	75.107431340872
6	15	4	27	101.60900	160.558	5.89490	69.927639383155
6	15	5	26	175.33300	353.609	17.82760	72.001615508885
6	15	6	25	207.30300	393.822	18.65190	75.330775444265
6	15	7	24	159.83700	337.787	17.79500	71.869951534734
6	15	8	15	180.72300	238.078	5.73550	68.036773428233
6	15	9	14	155.02500	342.415	18.73900	75.682552504039
6	15	10	13	185.07500	372.102	18.70270	75.535945072698
6	15	11	12	172.15500	232.109	5.99540	71.119810201661
6	15	12	11	132.24900	322.380	19.01310	76.789579967690
6	15	13	10	154.91500	331.912	17.69970	71.485056542811
6	15	14	9	215.63400	386.325	17.06910	68.938206785137
6	15	15	8	207.54900	403.393	19.58440	79.096930533118
6	15	16	94	167.97000	347.490	17.95200	72.504038772213
6	15	17	32	141.41900	328.348	18.69290	75.496365105008
6	15	18	45	169.36800	356.839	18.74710	75.715266558966
6	15	19	44	192.55100	378.441	18.58900	75.076736672052
6	15	20	43	170.81900	358.008	18.71890	75.601373182553
6	15	21	42	124.09900	182.643	5.85440	69.447212336892
6	15	22	41	148.90100	207.394	5.84930	69.386714116252
6	15	23	40	194.69100	253.273	5.85820	69.492289442467
6	15	24	63	187.03600	357.769	17.07330	68.955169628433
6	15	25	62	158.45100	215.837	5.73860	68.073546856465
6	15	26	61	166.62600	340.104	17.34780	70.063812600969
6	15	27	60	140.98400	305.777	16.47930	66.556138933764
6	15	28	59	140.50000	197.903	5.74030	68.093712930012
6	15	29	58	86.37280	274.708	18.83352	76.064297253635
6	15	30	57	164.56000	337.897	17.33370	70.006865912763
6	15	31	56	173.93000	344.786	17.08560	69.004846526656
7	5	0	92	182.87800	352.196	16.93180	68.383683360259
7	5	1	31	141.03700	198.272	5.72350	67.894424673784
7	5	2	18	131.64400	319.166	18.75220	75.735864297254
7	5	3	19	154.34100	341.167	18.68260	75.454765751212
7	5	4	20	155.25300	214.980	5.97270	70.850533807829
7	5	5	21	179.57400	359.335	17.97610	72.601373182553
7	5	6	22	169.96400	356.044	18.60800	75.153473344103
7	5	7	23	161.42100	347.188	18.57670	75.027059773829
7	5	8	0	195.81100	255.537	5.97260	70.849347568209
7	5	9	1	177.85000	359.198	18.13480	73.242326332795
7	5	10	2	170.21000	350.879	18.06690	72.968093699515
7	5	11	3	148.26300	207.710	5.94470	70.518386714116
7	5	12	4	137.97600	326.159	18.81830	76.002827140549
7	5	13	5	167.47200	345.282	17.78100	71.813408723748
7	5	14	6	177.20500	364.252	18.70470	75.544022617124
7	5	15	7	168.90200	358.219	18.93170	76.460823909532
7	5	16	95	174.57600	349.006	17.44300	70.448303715671
7	5	17	33	177.33100	367.936	19.06050	76.981017770598
7	5	18	34	187.53800	372.736	18.51980	74.797253634895
7	5	19	35	162.18500	343.192	18.10070	73.104604200323
7	5	20	36	191.60300	376.583	18.49800	74.709208400646
7	5	21	37	181.87500	240.044	5.81690	69.002372479241
7	5	22	38	158.61600	216.294	5.76780	68.419928825623
7	5	23	39	163.14000	220.236	5.70960	67.729537366548
7	5	24	48	162.24000	335.392	17.31520	69.932148626818
7	5	25	49	131.83400	186.108	5.42740	64.381969157770
7	5	26	50	113.03900	285.708	17.26690	69.737075928918
7	5	27	51	171.18600	342.341	17.11550	69.125605815832
7	5	28	52	168.62000	225.604	5.69840	67.596678529063
7	5	29	53	172.09400	347.238	17.51440	70.736672051696
7	5	30	54	162.34100	335.634	17.32930	69.989095315024
7	5	31	55	167.93600	344.756	17.68200	71.413570274637
7	13	0	93	174.13200	347.261	17.31290	69.922859450727
7	13	1	30	122.17900	179.380	5.72010	67.854092526690
7	13	2	29	131.66500	311.007	17.93420	72.432148626818
7	13	3	28	170.86500	356.655	18.57900	75.036348949919
7	13	4	27	101.75800	160.337	5.85790	69.488730723606
7	13	5	26	175.42800	354.014	17.85860	72.126817447496
7	13	6	25	207.38900	394.667	18.72780	75.637318255250
7	13	7	24	159.95700	337.026	17.70690	71.514135702746
7	13	8	15	180.50300	238.033	5.75300	68.244365361803
7	13	9	14	154.99500	341.559	18.65640	75.348949919225
7	13	10	13	185.34900	370.655	18.53060	74.840872374798
7	13	11	12	172.18600	359.871	18.76850	75.801696284330
7	13	12	11	131.96200	323.091	19.11290	77.192649434572
7	13	13	10	155.10900	331.876	17.67670	71.392164781906
7	13	14	9	215.77700	385.388	16.96110	68.502019386107
7	13	15	8	207.46800	404.182	19.67140	79.448303715671
7	13	16	94	167.87600	347.396	17.95200	72.504038772213
7	13	17	32	141.47500	327.970	18.64950	75.321082390953
7	13	18	45	169.32200	356.861	18.75390	75.742730210016
7	13	19	44	192.59300	378.252	18.56590	74.983441033926
7	13	20	43	170.76800	361.248	19.04800	76.930533117932
7	13	21	42	124.07000	182.387	5.83170	69.177935943061
7	13	22	41	149.06200	207.310	5.82480	69.096085409253
7	13	23	40	194.54200	253.258	5.87160	69.651245551602
7	13	24	63	186.89300	358.966	17.20730	69.496365105008
7	13	25	62	158.42400	215.777	5.73530	68.034400948992
7	13	26	61	166.50100	340.418	17.39170	70.241114701131
7	13	27	60	141.08600	312.260	17.11740	69.133279483037
7	13	28	59	140.60200	198.06700	5.74650	68.167259786477
7	13	29	58	86.23830	272.602	18.63637	75.268053311793
7	13	30	57	164.69600	338.180	17.34840	70.066235864297
7	13	31	56	174.87600	339.153	16.42770	66.347738287561

